NGI ID	User ID	RC	Mreads	>=Q30
P30009_101	BEL_1	Fail	0.80	85.31
P30009_102	TANR_2	Fail	0.98	86.13
P30009_103	VIN_2	Fail	0.78	84.08
P30009_104	LAN_1	Fail	0.74	85.43
P30009_105	ASK_1	Fail	0.72	84.79
P30009_106	FH_1	Fail	0.63	84.61
P30009_107	BLA_1	Fail	1.13	86.55
P30009_108	BLA_POOL	Fail	1.38	84.63
P30009_109	BEL_2	Fail	1.26	86.58
P30009_110	TANR_3	Fail	1.08	85.76
P30009_111	VAS_1	Fail	1.36	82.79
P30009_112	LAN_2	Fail	1.12	84.24
P30009_113	ASK_2	Fail	0.67	78.56
P30009_114	FH_2	Fail	1.47	68.49
P30009_115	BLA_2	Fail	0.77	84.84
P30009_116	GAR_POOL	Fail	1.39	86.25
P30009_117	BEL_3	Fail	0.75	84.26
P30009_118	VAR2_1	Fail	1.09	85.35
P30009_119	VAS_2	Fail	1.13	78.35
P30009_120	LAN_3	Fail	1.07	85.60
P30009_121	ANK1_1	Fail	1.06	84.69
P30009_122	FH_3	Fail	1.10	84.89
P30009_123	BLA_3	Fail	1.21	78.82
P30009_124	BEL_POOL	Fail	1.32	86.27
P30009_125	BJO_1	Fail	1.11	85.06
P30009_126	VAR2_2	Fail	1.08	84.57
P30009_127	VAS_3	Fail	1.10	85.42
P30009_128	TRAO_1	Fail	1.13	81.49
P30009_129	ANK1_2	Fail	1.13	86.09
P30009_130	TES1_1	Fail	1.62	61.14
P30009_131	GAR_1	Fail	1.19	85.10
P30009_132	KUL_POOL	Fail	1.15	84.90
P30009_133	BJO_2	Fail	1.00	85.97
P30009_134	VAR2_3	Fail	1.55	59.85
P30009_135	STH_1	Fail	1.24	86.28
P30009_136	TRAO_2	Fail	0.06	82.97
P30009_137	ANK1_3	Fail	1.22	85.09
P30009_138	TES1_2	Fail	0.78	85.40
P30009_139	GAR_2	Fail	0.79	84.71
P30009_140	VAS_POOL	Fail	1.90	73.59
P30009_141	BJO_3	Fail	1.19	75.31
P30009_142	VAR1_1	Fail	1.18	85.32
P30009_143	STH_2	Fail	1.17	85.54
P30009_144	TRAO_3	Fail	0.97	85.32
P30009_145	ANK2_1	Fail	1.13	85.54
P30009_146	TES1_3	Fail	0.92	79.07
P30009_147	GAR_3	Fail	0.89	85.10
P30009_148	STH_POOL	Fail	1.73	81.06
P30009_149	TANR_1	Fail	0.94	84.99
P30009_150	VAR1_2	Fail	1.16	86.64
P30009_151	STH_3	Fail	1.08	86.01
P30009_152	KUL_1	Fail	0.99	85.07
P30009_153	ANK2_2	Fail	1.24	73.40
P30009_154	TAN_1	Fail	1.52	65.94
P30009_155	LANY_1	Fail	1.35	75.12
P30009_156	ASK_POOL	Fail	1.33	84.53
P30009_157	AGA_3	Fail	1.32	82.73
P30009_158	VAR1_3	Fail	1.11	84.65
P30009_159	VAG_1	Fail	1.60	77.28
P30009_160	KUL_2	Fail	0.99	84.38
P30009_161	STR_1	Fail	0.78	86.01
P30009_162	TAN_2	Fail	0.87	84.86
P30009_163	LANY_2	Fail	1.10	83.83
P30009_164	PUK_POOL	Fail	1.00	74.85
P30009_165	AGA_2	Fail	1.05	85.18
P30009_166	VASV_1	Fail	1.39	72.76
P30009_167	VAG_2	Fail	1.10	84.52
P30009_168	KUL_3	Fail	1.13	85.53
P30009_169	STR_2	Fail	0.89	84.32
P30009_170	TAN_3	Fail	0.85	85.49
P30009_171	LANY_3	Fail	1.19	85.84
P30009_172	FH_POOL	Fail	1.55	79.59
P30009_173	AGA_1	Fail	0.98	85.04
P30009_174	VASV_2	Fail	0.49	86.21
P30009_175	VIB_1	Fail	3.13	85.55
P30009_176	RAM_1	Fail	1.00	85.42
P30009_177	STR_3	Fail	0.92	85.40
P30009_178	TES2_1	Fail	1.51	72.75
P30009_179	suc_POOL	Fail	1.29	82.01
P30009_180	TES_POOL	Fail	1.61	71.36
P30009_181	ISA_2	Fail	0.74	85.48
P30009_182	VASV_3	Fail	0.76	84.67
P30009_183	VIB_2	Fail	0.70	71.83
P30009_184	RAM_2	Fail	1.01	82.53
P30009_185	PUK_1	Fail	0.78	85.47
P30009_186	TES2_2	Fail	0.61	84.95
P30009_187	glu_POOL	Fail	0.90	84.65
P30009_188	mel_POOL	Fail	1.16	83.16
P30009_189	ISA_1	Fail	0.95	86.75
P30009_190	VIN_1	Fail	0.99	84.48
P30009_191	VIB_3	Fail	0.93	86.09
P30009_192	RAM_3	Fail	0.82	85.74
P30009_193	PUK_2	Fail	0.59	82.61
P30009_194	TES2_3	Fail	1.15	73.67
